,loss,accuracy,true_positives,true_negatives,false_positives,false_negatives,val_loss,val_accuracy,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,lr
0,3.7585086822509766,0.03508356586098671,39.0,7095859.0,797.0,168929.0,3.6343119144439697,0.051395565271377563,10.0,1774114.0,8.0,42231.0,0.001
1,3.6361238956451416,0.05036456510424614,23.0,7096617.0,39.0,168945.0,3.555577278137207,0.07395657896995544,7.0,1774117.0,5.0,42234.0,0.001
2,3.6162631511688232,0.051968421787023544,27.0,7096615.0,41.0,168941.0,3.5106449127197266,0.08127175271511078,5.0,1774118.0,4.0,42236.0,0.001
3,3.5889339447021484,0.057176508009433746,26.0,7096620.0,36.0,168942.0,3.5017666816711426,0.08754527568817139,9.0,1774113.0,9.0,42232.0,0.001
4,3.5772018432617188,0.05819445103406906,31.0,7096619.0,37.0,168937.0,3.4932146072387695,0.08290523290634155,13.0,1774113.0,9.0,42228.0,0.001
5,3.5694825649261475,0.06010013818740845,41.0,7096626.0,30.0,168927.0,3.467545986175537,0.09388982504606247,9.0,1774112.0,10.0,42232.0,0.001
6,3.5580861568450928,0.06259173154830933,44.0,7096613.0,43.0,168924.0,3.472414493560791,0.090504489839077,8.0,1774114.0,8.0,42233.0,0.001
7,3.550727128982544,0.0634794756770134,35.0,7096613.0,43.0,168933.0,3.445222854614258,0.10137070715427399,7.0,1774116.0,6.0,42234.0,0.001
8,3.534550189971924,0.06721983104944229,37.0,7096615.0,41.0,168931.0,3.418097972869873,0.10731279850006104,9.0,1774120.0,2.0,42232.0,0.001
9,3.5242679119110107,0.06885918974876404,64.0,7096613.0,43.0,168904.0,3.4182729721069336,0.09606780111789703,11.0,1774115.0,7.0,42230.0,0.001
10,3.519303560256958,0.07052814960479736,57.0,7096600.0,56.0,168911.0,3.41762113571167,0.0991690531373024,11.0,1774112.0,10.0,42230.0,0.001
11,3.514922618865967,0.07104303687810898,68.0,7096603.0,53.0,168900.0,3.4179847240448,0.10712341219186783,12.0,1774115.0,7.0,42229.0,0.001
12,3.5031511783599854,0.07330381870269775,69.0,7096581.0,75.0,168899.0,3.381953716278076,0.11699533462524414,11.0,1774113.0,9.0,42230.0,0.001
13,3.496312141418457,0.07586643844842911,69.0,7096590.0,66.0,168899.0,3.3810741901397705,0.10889893770217896,12.0,1774113.0,9.0,42229.0,0.001
14,3.491736888885498,0.07607357949018478,71.0,7096602.0,54.0,168897.0,3.3968234062194824,0.1103193610906601,15.0,1774116.0,6.0,42226.0,0.001
15,3.481684684753418,0.0797843411564827,66.0,7096593.0,63.0,168902.0,3.3619728088378906,0.11794228106737137,14.0,1774105.0,17.0,42227.0,0.001
16,3.4789652824401855,0.08070167154073715,92.0,7096593.0,63.0,168876.0,3.3785383701324463,0.11413081735372543,13.0,1774111.0,11.0,42228.0,0.001
17,3.4690051078796387,0.08094432204961777,103.0,7096583.0,73.0,168865.0,3.3642044067382812,0.11914964020252228,13.0,1774116.0,6.0,42228.0,0.001
18,3.463151216506958,0.08347142487764359,100.0,7096574.0,82.0,168868.0,3.3335070610046387,0.1263701170682907,18.0,1774116.0,6.0,42223.0,0.001
19,3.458338737487793,0.0830334722995758,102.0,7096561.0,95.0,168866.0,3.333064556121826,0.1274591088294983,20.0,1774114.0,8.0,42221.0,0.001
20,3.461630344390869,0.08190308511257172,100.0,7096575.0,81.0,168868.0,3.330306053161621,0.13117587566375732,12.0,1774118.0,4.0,42229.0,0.001
21,3.468687057495117,0.08067800104618073,87.0,7096579.0,77.0,168881.0,3.328077554702759,0.12769584357738495,15.0,1774117.0,5.0,42226.0,0.001
22,3.4660863876342773,0.08054187893867493,81.0,7096591.0,65.0,168887.0,3.320180654525757,0.13422977924346924,13.0,1774115.0,7.0,42228.0,0.001
23,3.459522008895874,0.0831163302063942,93.0,7096586.0,70.0,168875.0,3.3144497871398926,0.13181506097316742,20.0,1774112.0,10.0,42221.0,0.001
24,3.443115711212158,0.0853179320693016,131.0,7096560.0,96.0,168837.0,3.33535099029541,0.12473662942647934,17.0,1774110.0,12.0,42224.0,0.001
25,3.4418814182281494,0.0843532532453537,126.0,7096554.0,102.0,168842.0,3.3097269535064697,0.13325916230678558,14.0,1774115.0,7.0,42227.0,0.001
26,3.4361698627471924,0.08618791401386261,123.0,7096565.0,91.0,168845.0,3.2988698482513428,0.13984043896198273,17.0,1774114.0,8.0,42224.0,0.001
27,3.4375791549682617,0.08699280023574829,128.0,7096547.0,109.0,168840.0,3.2825565338134766,0.14440946280956268,11.0,1774112.0,10.0,42230.0,0.001
28,3.4338550567626953,0.0881882980465889,148.0,7096548.0,108.0,168820.0,3.3604047298431396,0.11884188652038574,19.0,1774111.0,11.0,42222.0,0.001
29,3.4328677654266357,0.08696912974119186,143.0,7096530.0,126.0,168825.0,3.2986900806427,0.13202811777591705,18.0,1774113.0,9.0,42223.0,0.001
30,3.4263134002685547,0.08875644952058792,158.0,7096542.0,114.0,168810.0,3.2952795028686523,0.14168699085712433,19.0,1774105.0,17.0,42222.0,0.001
31,3.4201409816741943,0.09047867357730865,173.0,7096540.0,116.0,168795.0,3.2723913192749023,0.14466987550258636,20.0,1774109.0,13.0,42221.0,0.001
32,3.4160077571868896,0.09137824922800064,175.0,7096526.0,130.0,168793.0,3.2692713737487793,0.14521436393260956,15.0,1774109.0,13.0,42226.0,0.001
33,3.41812801361084,0.09102315455675125,168.0,7096499.0,157.0,168800.0,3.331808567047119,0.12078312784433365,14.0,1774112.0,10.0,42227.0,0.001
34,3.420593738555908,0.09076866507530212,170.0,7096518.0,138.0,168798.0,3.2668001651763916,0.14381761848926544,19.0,1774109.0,13.0,42222.0,0.001
35,3.4139962196350098,0.09162681549787521,180.0,7096528.0,128.0,168788.0,3.25881290435791,0.1476527601480484,19.0,1774112.0,10.0,42222.0,0.001
36,3.415024518966675,0.09173334389925003,180.0,7096505.0,151.0,168788.0,3.3224551677703857,0.13157832622528076,20.0,1774113.0,9.0,42221.0,0.001
37,3.4184086322784424,0.08991643041372299,176.0,7096529.0,127.0,168792.0,3.2806625366210938,0.14076371490955353,12.0,1774108.0,14.0,42229.0,0.001
38,3.4139411449432373,0.09166232496500015,174.0,7096505.0,151.0,168794.0,3.2947728633880615,0.13034729659557343,21.0,1774110.0,12.0,42220.0,0.001
39,3.41353178024292,0.09163273870944977,159.0,7096509.0,147.0,168809.0,3.243558883666992,0.15506261587142944,17.0,1774110.0,12.0,42224.0,0.001
40,3.4155852794647217,0.09139008820056915,205.0,7096521.0,135.0,168763.0,3.27901291847229,0.14161597192287445,15.0,1774113.0,9.0,42226.0,0.001
41,3.40756893157959,0.0928518995642662,184.0,7096481.0,175.0,168784.0,3.3350114822387695,0.12173007428646088,21.0,1774113.0,9.0,42220.0,0.001
42,3.438662528991699,0.08647791296243668,168.0,7096521.0,135.0,168800.0,3.3278772830963135,0.11900760233402252,19.0,1774114.0,8.0,42222.0,0.001
43,3.4226324558258057,0.0887446179986,177.0,7096534.0,122.0,168791.0,3.290170431137085,0.13785184919834137,15.0,1774114.0,8.0,42226.0,0.001
44,3.4063775539398193,0.09173334389925003,159.0,7096544.0,112.0,168809.0,3.2460601329803467,0.15136952698230743,17.0,1774110.0,12.0,42224.0,0.0005
45,3.4046261310577393,0.09328985214233398,143.0,7096540.0,116.0,168825.0,3.255068063735962,0.14533273875713348,20.0,1774111.0,11.0,42221.0,0.0005
46,3.3928191661834717,0.09550920873880386,213.0,7096535.0,121.0,168755.0,3.226017475128174,0.16098104417324066,22.0,1774109.0,13.0,42219.0,0.0005
47,3.385511875152588,0.09800080209970474,226.0,7096512.0,144.0,168742.0,3.2662060260772705,0.14878909289836884,19.0,1774109.0,13.0,42222.0,0.0005
48,3.42394757270813,0.0872354507446289,150.0,7096591.0,65.0,168818.0,3.26623797416687,0.1429416984319687,17.0,1774113.0,9.0,42224.0,0.0005
49,3.4217658042907715,0.0876438170671463,152.0,7096590.0,66.0,168816.0,3.3008673191070557,0.13470324873924255,23.0,1774108.0,14.0,42218.0,0.0005
50,3.4186646938323975,0.08917664736509323,182.0,7096571.0,85.0,168786.0,3.261371612548828,0.14665846526622772,26.0,1774106.0,16.0,42215.0,0.0005
51,3.409741163253784,0.09173334389925003,171.0,7096580.0,76.0,168797.0,3.249267339706421,0.15028053522109985,21.0,1774107.0,15.0,42220.0,0.00025
52,3.4074695110321045,0.0916564092040062,152.0,7096579.0,77.0,168816.0,3.2514851093292236,0.1501384973526001,27.0,1774103.0,19.0,42214.0,0.00025
53,3.4098663330078125,0.09088703244924545,147.0,7096571.0,85.0,168821.0,3.255908727645874,0.14845766127109528,20.0,1774105.0,17.0,42221.0,0.00025
54,3.4068992137908936,0.09201150387525558,161.0,7096576.0,80.0,168807.0,3.2594656944274902,0.14649274945259094,22.0,1774107.0,15.0,42219.0,0.00025
