Epoch,Loss,Accuracy,F1-Score,Recall,Precision,val_Loss,val_Accuracy,val_F1-Score,val_Recall,val_Precision
1,1.1324,0.658,0.6145,0.6482,0.6241,0.1584,0.9612,0.952,0.9575,0.9588
2,0.1062,0.9732,0.9668,0.9712,0.971,0.068,0.9815,0.9777,0.9808,0.9804
3,0.058,0.9853,0.9812,0.9838,0.9834,0.4178,0.9281,0.9052,0.9212,0.9078
4,0.0426,0.9892,0.9861,0.988,0.9878,0.0347,0.991,0.9884,0.9898,0.9897
5,0.0343,0.991,0.9891,0.9906,0.9904,0.0799,0.9822,0.9787,0.9813,0.982
6,0.0283,0.9928,0.991,0.9923,0.9921,0.0321,0.9924,0.9908,0.9919,0.9922
7,0.0223,0.9942,0.9929,0.994,0.9938,0.0292,0.9928,0.9917,0.9928,0.9928
8,0.0195,0.9949,0.9938,0.9947,0.9946,0.0385,0.9907,0.9876,0.9889,0.9892
9,0.02,0.9952,0.9939,0.9948,0.9946,0.0229,0.9946,0.9929,0.9934,0.9939
10,0.0149,0.9962,0.9951,0.9958,0.9958,0.0422,0.9894,0.9872,0.9886,0.9893
11,0.0133,0.9965,0.9957,0.9963,0.9962,0.0223,0.9949,0.9935,0.9942,0.9943
12,0.0144,0.9963,0.9952,0.9958,0.9956,0.0221,0.9943,0.9925,0.9933,0.9934
13,0.0105,0.9974,0.9967,0.9971,0.997,0.0198,0.9955,0.9945,0.9951,0.9953
14,0.011,0.9972,0.9965,0.997,0.9969,0.0242,0.9943,0.9925,0.9933,0.9935
15,0.0091,0.9978,0.9971,0.9975,0.9974,0.0177,0.9957,0.9946,0.9953,0.9953
16,0.0089,0.9977,0.997,0.9973,0.9974,0.2355,0.9685,0.9552,0.9644,0.955
17,0.0101,0.9976,0.9969,0.9973,0.9972,0.0247,0.9944,0.9925,0.9934,0.9935
18,0.0077,0.9981,0.9976,0.998,0.9979,1.0486,0.8775,0.8551,0.8659,0.8799
19,0.0086,0.9979,0.9972,0.9976,0.9976,0.0152,0.9964,0.9956,0.9963,0.9961
20,0.0077,0.998,0.9976,0.998,0.9979,0.023,0.9948,0.9937,0.9943,0.9948
21,0.0061,0.9986,0.9984,0.9987,0.9985,0.0216,0.9954,0.9936,0.9942,0.9944
22,0.0068,0.9985,0.9979,0.9982,0.9981,1.9381,0.73,0.721,0.7215,0.7992
23,0.0081,0.9978,0.9973,0.9977,0.9976,0.015,0.9963,0.9955,0.9961,0.996
24,0.0035,0.9991,0.9989,0.9991,0.9991,0.0266,0.9944,0.9929,0.9939,0.9937
25,0.0062,0.9985,0.9981,0.9984,0.9983,0.0173,0.9962,0.9951,0.9958,0.9957
26,0.0051,0.9989,0.9985,0.9987,0.9987,0.0141,0.9962,0.9954,0.996,0.9961
27,0.0057,0.9986,0.9982,0.9985,0.9985,0.0173,0.9964,0.9953,0.9957,0.996
28,0.0039,0.9991,0.999,0.9992,0.9991,0.0138,0.9971,0.9967,0.9972,0.9971
29,0.007,0.9983,0.9979,0.9982,0.9981,0.0128,0.997,0.9963,0.9968,0.9967
30,0.004,0.9989,0.9988,0.999,0.9989,0.577,0.923,0.9081,0.9232,0.9153
31,0.0069,0.9983,0.9978,0.9981,0.998,0.1139,0.9782,0.972,0.9771,0.9762
32,0.0037,0.9991,0.999,0.9991,0.9991,0.0116,0.9971,0.9964,0.9968,0.9969
33,0.0042,0.999,0.9988,0.999,0.9988,0.0157,0.9965,0.996,0.9965,0.9966
34,0.0039,0.999,0.9988,0.9989,0.9989,0.0152,0.9967,0.9958,0.9964,0.9964
35,0.0039,0.9992,0.999,0.9991,0.9991,0.0174,0.9959,0.9951,0.9956,0.9957
36,0.0052,0.9988,0.9985,0.9988,0.9987,0.0153,0.997,0.9961,0.9968,0.9966
37,0.0032,0.9993,0.9991,0.9992,0.9992,0.015,0.9968,0.9962,0.9967,0.9967
38,0.0038,0.999,0.9988,0.999,0.9989,0.0098,0.9977,0.9971,0.9976,0.9974
39,0.0029,0.9993,0.9992,0.9993,0.9993,0.0129,0.9973,0.997,0.9974,0.9975
40,0.0032,0.9992,0.9991,0.9992,0.9992,0.0152,0.9967,0.9959,0.9965,0.9965
41,0.0063,0.9987,0.9984,0.9987,0.9986,0.2393,0.9627,0.9532,0.9619,0.9536
42,0.0034,0.9992,0.9988,0.9989,0.9988,0.0136,0.997,0.9962,0.9967,0.9966
43,0.0024,0.9994,0.9993,0.9994,0.9993,0.0136,0.9968,0.996,0.9965,0.9965
44,0.0036,0.9991,0.9989,0.9991,0.999,0.0128,0.9972,0.9966,0.997,0.9971
45,0.0032,0.9992,0.999,0.9991,0.9991,0.0106,0.9978,0.9973,0.9976,0.9976
46,0.0024,0.9994,0.9992,0.9993,0.9993,0.0194,0.9961,0.9955,0.9961,0.996
47,0.0043,0.999,0.9988,0.999,0.9989,0.0122,0.997,0.996,0.9967,0.9964
48,0.0026,0.9993,0.9992,0.9993,0.9993,0.0134,0.9973,0.9971,0.9975,0.9975
49,0.0025,0.9994,0.9993,0.9994,0.9994,0.0131,0.9972,0.9963,0.9966,0.9969
50,0.0033,0.9992,0.9989,0.999,0.999,0.0142,0.997,0.9959,0.9964,0.9965
51,0.0024,0.9995,0.9993,0.9994,0.9994,0.0132,0.9973,0.9968,0.9973,0.9972
52,0.0033,0.9992,0.9989,0.9991,0.999,0.0126,0.9974,0.9964,0.9968,0.9968
53,0.0029,0.9993,0.9992,0.9993,0.9992,0.0156,0.997,0.9961,0.9966,0.9966
54,0.0031,0.9993,0.9991,0.9992,0.9992,0.0123,0.9976,0.9971,0.9974,0.9975
55,0.0023,0.9995,0.9993,0.9994,0.9993,0.0114,0.9978,0.9974,0.9977,0.9979
56,0.0025,0.9994,0.9993,0.9994,0.9994,0.0108,0.9976,0.9971,0.9974,0.9976
57,0.0026,0.9993,0.9992,0.9994,0.9993,0.0137,0.9974,0.9972,0.9975,0.9977
58,0.0022,0.9994,0.9993,0.9994,0.9993,0.0157,0.9968,0.9964,0.9969,0.9969
59,0.0014,0.9997,0.9995,0.9996,0.9996,0.0135,0.9974,0.9967,0.9972,0.9971
60,0.0037,0.9992,0.999,0.9992,0.9991,0.0133,0.9972,0.9965,0.997,0.9969
61,0.0017,0.9996,0.9994,0.9995,0.9995,0.0106,0.9976,0.9967,0.997,0.9971
62,0.002,0.9995,0.9994,0.9995,0.9995,0.0146,0.9971,0.9959,0.9963,0.9964
63,0.0024,0.9994,0.9993,0.9994,0.9994,0.0118,0.9977,0.997,0.9973,0.9975
64,0.0027,0.9994,0.9992,0.9993,0.9992,0.011,0.9976,0.9971,0.9975,0.9975
65,0.0021,0.9996,0.9994,0.9995,0.9995,0.0132,0.9975,0.9966,0.997,0.997
66,0.0011,0.9997,0.9996,0.9996,0.9996,0.008,0.9983,0.998,0.9983,0.9982
67,0.0021,0.9995,0.9993,0.9994,0.9994,0.1314,0.9841,0.9812,0.9835,0.9847
68,0.0019,0.9995,0.9994,0.9995,0.9994,0.0102,0.9979,0.9976,0.9979,0.998
69,0.0018,0.9996,0.9995,0.9996,0.9995,0.0245,0.9948,0.9935,0.9943,0.9943
70,0.0031,0.9993,0.9991,0.9992,0.9992,0.0108,0.9978,0.9974,0.9976,0.9977
71,0.0025,0.9995,0.9993,0.9994,0.9994,0.0104,0.9978,0.9975,0.9979,0.9979
72,0.002,0.9996,0.9994,0.9995,0.9995,0.0109,0.9977,0.9972,0.9975,0.9976
73,0.0012,0.9997,0.9996,0.9997,0.9997,0.0387,0.9931,0.9915,0.9927,0.9927
74,0.0024,0.9995,0.9992,0.9993,0.9993,0.0108,0.9977,0.9972,0.9975,0.9976
75,0.0016,0.9996,0.9994,0.9995,0.9995,0.0098,0.9979,0.9974,0.9979,0.9975
76,0.0012,0.9997,0.9997,0.9997,0.9997,0.0108,0.9979,0.9977,0.998,0.9981
77,0.0028,0.9994,0.9993,0.9994,0.9993,0.0134,0.9973,0.997,0.9975,0.9973
78,0.0017,0.9995,0.9994,0.9995,0.9995,0.0693,0.9866,0.9832,0.9853,0.9855
79,0.002,0.9995,0.9994,0.9995,0.9995,0.0109,0.998,0.9975,0.9978,0.9978
80,0.0006,0.9999,0.9999,0.9999,0.9999,0.0108,0.9979,0.9975,0.9977,0.998
81,0.0015,0.9997,0.9996,0.9997,0.9996,0.0105,0.9979,0.9973,0.9977,0.9978
82,0.0013,0.9996,0.9995,0.9996,0.9996,0.1828,0.9805,0.9736,0.9787,0.9766
83,0.0024,0.9995,0.9993,0.9994,0.9994,0.0105,0.9978,0.9975,0.9979,0.9979
84,0.0011,0.9997,0.9997,0.9997,0.9997,0.01,0.9977,0.9972,0.9976,0.9977
85,0.0016,0.9996,0.9994,0.9995,0.9994,0.0136,0.997,0.9965,0.997,0.997
86,0.002,0.9996,0.9994,0.9995,0.9994,0.013,0.9975,0.9967,0.9971,0.997
87,0.0017,0.9996,0.9995,0.9996,0.9996,0.0134,0.9969,0.9963,0.9968,0.9969
88,0.0013,0.9997,0.9997,0.9997,0.9997,0.0109,0.9977,0.9972,0.9974,0.9977
89,0.0023,0.9996,0.9995,0.9995,0.9995,0.0118,0.9973,0.9966,0.9971,0.9971
90,0.0022,0.9995,0.9994,0.9995,0.9995,0.0117,0.9977,0.9969,0.9974,0.9972
91,0.0011,0.9997,0.9997,0.9997,0.9997,0.0089,0.9982,0.9977,0.9981,0.9979
92,0.0005,0.9999,0.9999,0.9999,0.9999,0.0257,0.9956,0.9944,0.9952,0.9951
93,0.0019,0.9996,0.9996,0.9996,0.9996,0.0103,0.9979,0.9972,0.9974,0.9976
94,0.0021,0.9995,0.9994,0.9995,0.9995,0.0126,0.9971,0.9957,0.9962,0.9963
95,0.0013,0.9996,0.9995,0.9996,0.9995,0.0112,0.9977,0.9972,0.9976,0.9975
96,0.0017,0.9997,0.9996,0.9997,0.9997,0.0202,0.9963,0.9951,0.9954,0.9959
97,0.0032,0.9993,0.999,0.9992,0.9991,0.0035,0.9993,0.9991,0.9992,0.9992
98,0.0017,0.9995,0.9995,0.9996,0.9995,0.0034,0.9991,0.9988,0.999,0.999
99,0.0016,0.9996,0.9995,0.9996,0.9996,0.0051,0.999,0.9988,0.999,0.999
100,0.0015,0.9996,0.9996,0.9997,0.9996,0.005,0.9988,0.9986,0.9988,0.9988
101,0.0022,0.9995,0.9994,0.9995,0.9995,0.0057,0.9986,0.9984,0.9985,0.9987
102,0.0015,0.9997,0.9996,0.9997,0.9996,0.0032,0.9994,0.9993,0.9994,0.9994
103,0.002,0.9996,0.9994,0.9995,0.9995,0.0022,0.9996,0.9995,0.9995,0.9996
104,0.0019,0.9996,0.9996,0.9997,0.9996,0.0027,0.9993,0.9992,0.9993,0.9993
105,0.0014,0.9997,0.9997,0.9997,0.9997,0.0046,0.9988,0.9986,0.9988,0.9988
106,0.0022,0.9995,0.9994,0.9995,0.9995,0.0026,0.9995,0.9994,0.9995,0.9995
107,0.0004,0.9999,0.9999,0.9999,0.9999,0.0015,0.9997,0.9997,0.9998,0.9997
108,0.0014,0.9997,0.9997,0.9997,0.9997,0.0037,0.9991,0.9989,0.999,0.999
109,0.0022,0.9996,0.9994,0.9995,0.9995,0.0034,0.9993,0.9992,0.9993,0.9993
110,0.0015,0.9996,0.9996,0.9997,0.9996,0.0024,0.9995,0.9993,0.9994,0.9994
111,0.0036,0.9992,0.999,0.9991,0.9991,0.0047,0.999,0.9987,0.9989,0.9989
112,0.0013,0.9997,0.9996,0.9996,0.9996,0.0019,0.9996,0.9995,0.9996,0.9996
113,0.0007,0.9998,0.9998,0.9998,0.9998,0.0021,0.9995,0.9994,0.9995,0.9995
114,0.0009,0.9998,0.9998,0.9998,0.9998,0.0039,0.9989,0.9987,0.9988,0.999
115,0.0017,0.9996,0.9994,0.9995,0.9995,0.0031,0.9992,0.999,0.9991,0.9991
116,0.002,0.9995,0.9994,0.9995,0.9995,0.0033,0.9992,0.9989,0.999,0.9991
117,0.0006,0.9999,0.9998,0.9999,0.9999,0.0037,0.9993,0.9993,0.9994,0.9994
118,0.0024,0.9995,0.9994,0.9995,0.9995,0.0044,0.999,0.9988,0.999,0.9988
119,0.0026,0.9994,0.9993,0.9995,0.9994,0.0074,0.998,0.9976,0.998,0.998
120,0.0014,0.9997,0.9996,0.9997,0.9997,0.004,0.999,0.9989,0.9991,0.999
121,0.0012,0.9997,0.9996,0.9997,0.9996,0.007,0.9985,0.9981,0.9984,0.9983
122,0.0024,0.9995,0.9992,0.9993,0.9993,0.0283,0.994,0.992,0.9928,0.9928
123,0.0014,0.9996,0.9995,0.9996,0.9996,0.0322,0.9925,0.9904,0.992,0.9918
124,0.0034,0.9994,0.999,0.9991,0.9991,0.0803,0.9851,0.9802,0.9842,0.9828
125,0.0009,0.9998,0.9997,0.9997,0.9997,0.0034,0.9992,0.9991,0.9992,0.9992
126,0.0006,0.9999,0.9998,0.9998,0.9998,0.0037,0.9993,0.9992,0.9993,0.9993
127,0.0016,0.9996,0.9993,0.9994,0.9994,0.0058,0.9989,0.9987,0.9988,0.9988
128,0.001,0.9997,0.9997,0.9997,0.9997,0.0077,0.9983,0.9979,0.9981,0.9983
